"OTU_Label","OTU_ID","Cluster","Division","Class","Order","Family","Genus","Species"
"Dino-Group-I-Clade-1_X_ASV_21077","ASV_21077","C1","Alveolata","Syndiniales","Dino-Group-I","Dino-Group-I-Clade-1","Dino-Group-I-Clade-1_X","Dino-Group-I-Clade-1_X_sp."
"Ephelota_ASV_661","ASV_661","C3","Alveolata","Phyllopharyngea","Suctoria","Ephelotidae","Ephelota",NA
"Halomonhystera_ASV_27080","ASV_27080","C3","Opisthokonta","Nematoda","Chromadorea","Chromadorea_X","Halomonhystera","Halomonhystera_disjuncta"
"Metromonas_ASV_18427","ASV_18427","C1","Rhizaria","Filosa-Metromonadea","Metromonadida","Metromonadidae","Metromonas","Metromonas_simplex"
"Loxophyllum_ASV_6533","ASV_6533","C4","Alveolata","Litostomatea","Haptoria_5","Pleurostomatida","Loxophyllum","Loxophyllum_rostratum"
"MAST-3I_ASV_9358","ASV_9358","C2","Stramenopiles","Opalozoa","Nanomonadea","MAST-3","MAST-3I","MAST-3I_sp."
"Bacillariophyceae_ASV_10160","ASV_10160","C2","Stramenopiles","Bacillariophyceae",NA,NA,NA,NA
"Dino-Group-I-Clade-4_X_ASV_21578","ASV_21578","C2","Alveolata","Syndiniales","Dino-Group-I","Dino-Group-I-Clade-4","Dino-Group-I-Clade-4_X","Dino-Group-I-Clade-4_X_sp."
"Spirotrachelostyla_ASV_26308","ASV_26308","C2","Alveolata","Spirotrichea","Hypotrichia","Trachelostylidae","Spirotrachelostyla","Spirotrachelostyla_tani"
"Grammatophora_ASV_10004","ASV_10004","C1","Stramenopiles","Bacillariophyceae","Rhabdonematales","Grammatophoraceae","Grammatophora","Grammatophora_marina"
"Cephaloidophora_ASV_1589","ASV_1589","C5","Alveolata","Gregarinomorphea","Eugregarinorida","Cephaloidophoridae","Cephaloidophora","Cephaloidophora_communis"
"Fragilariaceae_ASV_10037","ASV_10037","C1","Stramenopiles","Bacillariophyceae","Fragilariales","Fragilariaceae",NA,NA
"Membranipora_ASV_17859","ASV_17859","C2","Opisthokonta","Bryozoa","Bryozoa_X","Bryozoa_XX","Membranipora","Membranipora_membranacea"
